compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,57.67,52.17,109.84,2026-01-22T15:47:14+05:30,1
none,2,58.03,52.53,110.56,2026-01-22T15:49:08+05:30,1
none,4,63.19,49.68,112.87,2026-01-22T15:51:04+05:30,1
none,8,51.41,49.91,101.32,2026-01-22T15:52:48+05:30,1
tar,0,56.37,49.12,105.49,2026-01-22T15:54:36+05:30,1
tar,2,56.76,50.86,107.62,2026-01-22T15:56:26+05:30,1
tar,4,60.28,57.08,117.36,2026-01-22T15:58:26+05:30,1
tar,8,56.59,52.08,108.67,2026-01-22T16:00:18+05:30,1
gzip,0,5.74,4.09,9.83,2026-01-22T16:00:31+05:30,1
gzip,2,8.62,4.24,12.86,2026-01-22T16:00:46+05:30,1
gzip,4,4.25,4.42,8.67,2026-01-22T16:00:58+05:30,1
gzip,8,5.45,5.71,11.16,2026-01-22T16:01:12+05:30,1
lz4,0,4.30,4.19,8.49,2026-01-22T16:01:23+05:30,1
lz4,2,4.59,4.91,9.50,2026-01-22T16:01:35+05:30,1
lz4,4,4.90,5.06,9.96,2026-01-22T16:01:48+05:30,1
lz4,8,5.79,5.61,11.40,2026-01-22T16:02:03+05:30,1
zlib,0,3.95,3.93,7.88,2026-01-22T16:02:13+05:30,1
zlib,2,3.59,4.34,7.93,2026-01-22T16:02:24+05:30,1
zlib,4,4.13,4.62,8.75,2026-01-22T16:02:36+05:30,1
zlib,8,4.81,5.68,10.49,2026-01-22T16:02:49+05:30,1
