compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,75.91,62.50,138.41,2026-01-22T01:54:10+05:30,1
none,2,59.01,58.16,117.17,2026-01-22T01:56:09+05:30,1
none,4,57.87,64.78,122.65,2026-01-22T01:58:15+05:30,1
none,8,54.14,48.67,102.81,2026-01-22T02:00:00+05:30,1
tar,0,55.69,56.64,112.33,2026-01-22T02:01:56+05:30,1
tar,2,88.63,54.36,142.99,2026-01-22T02:04:21+05:30,1
tar,4,58.31,58.07,116.38,2026-01-22T02:06:21+05:30,1
tar,8,64.98,56.66,121.64,2026-01-22T02:08:25+05:30,1
gzip,0,3.86,4.48,8.34,2026-01-22T02:08:36+05:30,1
gzip,2,12.17,5.31,17.48,2026-01-22T02:08:56+05:30,1
gzip,4,4.21,4.44,8.65,2026-01-22T02:09:08+05:30,1
gzip,8,5.19,5.14,10.33,2026-01-22T02:09:21+05:30,1
lz4,0,4.33,4.44,8.77,2026-01-22T02:09:32+05:30,1
lz4,2,3.55,5.12,8.67,2026-01-22T02:09:44+05:30,1
lz4,4,4.47,4.81,9.28,2026-01-22T02:09:56+05:30,1
lz4,8,6.44,6.29,12.73,2026-01-22T02:10:11+05:30,1
zlib,0,3.91,3.86,7.77,2026-01-22T02:10:22+05:30,1
zlib,2,3.60,4.37,7.97,2026-01-22T02:10:33+05:30,1
zlib,4,4.49,4.70,9.19,2026-01-22T02:10:45+05:30,1
zlib,8,5.36,6.02,11.38,2026-01-22T02:10:59+05:30,1
none,0,57.77,54.48,112.25,2026-01-22T02:12:54+05:30,2
none,2,47.44,47.75,95.19,2026-01-22T02:14:32+05:30,2
none,4,135.33,49.51,184.84,2026-01-22T02:17:39+05:30,2
none,8,50.61,47.49,98.10,2026-01-22T02:19:20+05:30,2
tar,0,52.13,62.88,115.01,2026-01-22T02:21:18+05:30,2
tar,2,57.58,52.63,110.21,2026-01-22T02:23:11+05:30,2
tar,4,201.73,49.35,251.08,2026-01-22T02:27:25+05:30,2
tar,8,143.64,48.92,192.56,2026-01-22T02:30:40+05:30,2
gzip,0,3.09,3.90,6.99,2026-01-22T02:30:50+05:30,2
gzip,2,3.49,4.05,7.54,2026-01-22T02:31:00+05:30,2
gzip,4,4.30,4.32,8.62,2026-01-22T02:31:11+05:30,2
gzip,8,5.24,6.84,12.08,2026-01-22T02:31:26+05:30,2
lz4,0,4.30,3.26,7.56,2026-01-22T02:31:37+05:30,2
lz4,2,3.87,4.30,8.17,2026-01-22T02:31:48+05:30,2
lz4,4,4.72,4.93,9.65,2026-01-22T02:32:00+05:30,2
lz4,8,5.79,5.82,11.61,2026-01-22T02:32:14+05:30,2
zlib,0,3.44,4.21,7.65,2026-01-22T02:32:25+05:30,2
zlib,2,3.75,4.49,8.24,2026-01-22T02:32:36+05:30,2
zlib,4,4.03,4.39,8.42,2026-01-22T02:32:47+05:30,2
zlib,8,4.81,6.00,10.81,2026-01-22T02:33:01+05:30,2
none,0,58.28,64.92,123.20,2026-01-22T02:35:07+05:30,3
none,2,49.35,58.68,108.03,2026-01-22T02:36:57+05:30,3
none,4,65.30,49.95,115.25,2026-01-22T02:38:55+05:30,3
none,8,64.59,49.81,114.40,2026-01-22T02:40:53+05:30,3
tar,0,78.88,50.12,129.00,2026-01-22T02:43:04+05:30,3
tar,2,85.07,49.41,134.48,2026-01-22T02:45:22+05:30,3
tar,4,53.42,52.24,105.66,2026-01-22T02:47:10+05:30,3
tar,8,68.45,47.95,116.40,2026-01-22T02:49:09+05:30,3
gzip,0,3.90,3.48,7.38,2026-01-22T02:49:19+05:30,3
gzip,2,4.89,5.29,10.18,2026-01-22T02:49:32+05:30,3
gzip,4,5.12,5.59,10.71,2026-01-22T02:49:46+05:30,3
gzip,8,6.26,6.97,13.23,2026-01-22T02:50:02+05:30,3
lz4,0,4.41,4.37,8.78,2026-01-22T02:50:14+05:30,3
lz4,2,4.80,4.05,8.85,2026-01-22T02:50:25+05:30,3
lz4,4,4.52,4.81,9.33,2026-01-22T02:50:38+05:30,3
lz4,8,5.69,6.77,12.46,2026-01-22T02:50:53+05:30,3
zlib,0,3.86,4.05,7.91,2026-01-22T02:51:03+05:30,3
zlib,2,3.61,4.06,7.67,2026-01-22T02:51:14+05:30,3
zlib,4,3.96,4.46,8.42,2026-01-22T02:51:25+05:30,3
zlib,8,6.01,5.70,11.71,2026-01-22T02:51:39+05:30,3
