compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,0.48,0.40,.88,2026-01-22T19:11:02+05:30,1
none,2,0.43,0.63,1.06,2026-01-22T19:11:06+05:30,1
none,4,0.39,0.62,1.01,2026-01-22T19:11:09+05:30,1
none,8,0.37,0.61,.98,2026-01-22T19:11:13+05:30,1
tar,0,0.64,0.59,1.23,2026-01-22T19:11:17+05:30,1
tar,2,0.47,0.69,1.16,2026-01-22T19:11:21+05:30,1
tar,4,0.38,0.61,.99,2026-01-22T19:11:25+05:30,1
tar,8,0.38,0.61,.99,2026-01-22T19:11:28+05:30,1
gzip,0,1.35,0.65,2.00,2026-01-22T19:11:33+05:30,1
gzip,2,0.80,0.64,1.44,2026-01-22T19:11:37+05:30,1
gzip,4,0.57,0.62,1.19,2026-01-22T19:11:41+05:30,1
gzip,8,0.57,0.72,1.29,2026-01-22T19:11:45+05:30,1
lz4,0,0.67,0.83,1.50,2026-01-22T19:11:49+05:30,1
lz4,2,0.47,1.06,1.53,2026-01-22T19:11:53+05:30,1
lz4,4,0.40,0.88,1.28,2026-01-22T19:11:57+05:30,1
lz4,8,0.41,0.84,1.25,2026-01-22T19:12:01+05:30,1
zlib,0,1.64,0.87,2.51,2026-01-22T19:12:06+05:30,1
zlib,2,1.11,0.97,2.08,2026-01-22T19:12:11+05:30,1
zlib,4,0.95,0.91,1.86,2026-01-22T19:12:16+05:30,1
zlib,8,0.72,0.94,1.66,2026-01-22T19:12:20+05:30,1
none,0,0.58,0.46,1.04,2026-01-22T19:12:24+05:30,2
none,2,0.74,1.46,2.20,2026-01-22T19:12:29+05:30,2
none,4,0.72,0.82,1.54,2026-01-22T19:12:34+05:30,2
none,8,0.47,0.79,1.26,2026-01-22T19:12:38+05:30,2
tar,0,1.14,0.96,2.10,2026-01-22T19:12:43+05:30,2
tar,2,0.63,0.79,1.42,2026-01-22T19:12:47+05:30,2
tar,4,0.52,0.77,1.29,2026-01-22T19:12:51+05:30,2
tar,8,0.46,0.79,1.25,2026-01-22T19:12:55+05:30,2
gzip,0,1.50,0.72,2.22,2026-01-22T19:13:00+05:30,2
gzip,2,0.99,0.84,1.83,2026-01-22T19:13:05+05:30,2
gzip,4,0.88,0.86,1.74,2026-01-22T19:13:09+05:30,2
gzip,8,0.69,0.93,1.62,2026-01-22T19:13:13+05:30,2
lz4,0,0.79,0.82,1.61,2026-01-22T19:13:18+05:30,2
lz4,2,0.57,1.06,1.63,2026-01-22T19:13:22+05:30,2
lz4,4,0.53,1.05,1.58,2026-01-22T19:13:27+05:30,2
lz4,8,0.50,0.96,1.46,2026-01-22T19:13:31+05:30,2
zlib,0,1.64,0.82,2.46,2026-01-22T19:13:36+05:30,2
zlib,2,1.05,0.85,1.90,2026-01-22T19:13:41+05:30,2
zlib,4,0.60,0.63,1.23,2026-01-22T19:13:44+05:30,2
zlib,8,0.48,0.68,1.16,2026-01-22T19:13:48+05:30,2
none,0,0.44,0.39,.83,2026-01-22T19:13:52+05:30,3
none,2,0.41,0.63,1.04,2026-01-22T19:13:55+05:30,3
none,4,0.42,0.66,1.08,2026-01-22T19:13:59+05:30,3
none,8,0.37,0.65,1.02,2026-01-22T19:14:03+05:30,3
tar,0,0.71,0.62,1.33,2026-01-22T19:14:07+05:30,3
tar,2,0.42,0.64,1.06,2026-01-22T19:14:11+05:30,3
tar,4,0.39,0.66,1.05,2026-01-22T19:14:14+05:30,3
tar,8,0.42,0.70,1.12,2026-01-22T19:14:18+05:30,3
gzip,0,1.35,0.67,2.02,2026-01-22T19:14:23+05:30,3
gzip,2,0.92,0.85,1.77,2026-01-22T19:14:27+05:30,3
gzip,4,0.57,0.62,1.19,2026-01-22T19:14:31+05:30,3
gzip,8,0.48,0.62,1.10,2026-01-22T19:14:35+05:30,3
lz4,0,0.73,0.73,1.46,2026-01-22T19:14:39+05:30,3
lz4,2,0.44,0.98,1.42,2026-01-22T19:14:43+05:30,3
lz4,4,0.44,0.88,1.32,2026-01-22T19:14:47+05:30,3
lz4,8,0.41,0.85,1.26,2026-01-22T19:14:51+05:30,3
zlib,0,1.48,0.78,2.26,2026-01-22T19:14:56+05:30,3
zlib,2,0.85,0.64,1.49,2026-01-22T19:15:00+05:30,3
zlib,4,0.79,0.73,1.52,2026-01-22T19:15:04+05:30,3
zlib,8,0.48,0.63,1.11,2026-01-22T19:15:08+05:30,3
