compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
gzip,0,6.05,4.50,10.55,2026-01-22T18:46:31+05:30,1
gzip,2,4.78,6.36,11.14,2026-01-22T18:46:45+05:30,1
gzip,4,7.85,6.66,14.51,2026-01-22T18:47:02+05:30,1
gzip,8,5.55,6.76,12.31,2026-01-22T18:47:17+05:30,1
lz4,0,10.33,12.53,22.86,2026-01-22T18:47:43+05:30,1
lz4,2,10.94,28.85,39.79,2026-01-22T18:48:25+05:30,1
lz4,4,10.12,11.22,21.34,2026-01-22T18:48:49+05:30,1
lz4,8,6.62,16.34,22.96,2026-01-22T18:49:15+05:30,1
zlib,0,5.43,8.08,13.51,2026-01-22T18:49:31+05:30,1
zlib,2,9.66,8.25,17.91,2026-01-22T18:49:51+05:30,1
zlib,4,5.42,9.51,14.93,2026-01-22T18:50:09+05:30,1
zlib,8,8.70,8.78,17.48,2026-01-22T18:50:29+05:30,1
gzip,0,7.27,8.56,15.83,2026-01-22T18:50:48+05:30,2
gzip,2,4.73,8.17,12.90,2026-01-22T18:51:03+05:30,2
gzip,4,5.75,9.07,14.82,2026-01-22T18:51:21+05:30,2
gzip,8,6.58,6.97,13.55,2026-01-22T18:51:37+05:30,2
lz4,0,8.13,17.59,25.72,2026-01-22T18:52:05+05:30,2
lz4,2,7.60,12.05,19.65,2026-01-22T18:52:28+05:30,2
lz4,4,6.48,11.79,18.27,2026-01-22T18:52:48+05:30,2
lz4,8,6.65,8.95,15.60,2026-01-22T18:53:07+05:30,2
zlib,0,7.09,7.59,14.68,2026-01-22T18:53:24+05:30,2
zlib,2,15.00,12.21,27.21,2026-01-22T18:53:54+05:30,2
zlib,4,5.93,8.66,14.59,2026-01-22T18:54:11+05:30,2
zlib,8,6.13,11.38,17.51,2026-01-22T18:54:31+05:30,2
gzip,0,4.75,6.86,11.61,2026-01-22T18:54:45+05:30,3
gzip,2,6.81,9.28,16.09,2026-01-22T18:55:04+05:30,3
gzip,4,5.01,8.33,13.34,2026-01-22T18:55:20+05:30,3
gzip,8,5.95,6.86,12.81,2026-01-22T18:55:36+05:30,3
lz4,0,8.65,16.53,25.18,2026-01-22T18:56:03+05:30,3
lz4,2,6.14,18.70,24.84,2026-01-22T18:56:31+05:30,3
lz4,4,6.92,4.93,11.85,2026-01-22T18:56:45+05:30,3
lz4,8,11.18,12.95,24.13,2026-01-22T18:57:12+05:30,3
zlib,0,9.24,7.82,17.06,2026-01-22T18:57:32+05:30,3
zlib,2,10.61,9.27,19.88,2026-01-22T18:57:54+05:30,3
zlib,4,5.42,5.31,10.73,2026-01-22T18:58:08+05:30,3
zlib,8,6.52,7.09,13.61,2026-01-22T18:58:24+05:30,3
