compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,13.06,15.30,28.36,2026-01-27T11:35:24+00:00,1
none,2,8.71,14.60,23.31,2026-01-27T11:35:56+00:00,1
none,4,8.15,15.02,23.17,2026-01-27T11:36:29+00:00,1
none,8,9.14,14.48,23.62,2026-01-27T11:37:02+00:00,1
tar,0,7.20,13.12,20.32,2026-01-27T11:37:31+00:00,1
tar,2,6.55,14.28,20.83,2026-01-27T11:38:02+00:00,1
tar,4,9.01,14.42,23.43,2026-01-27T11:38:34+00:00,1
tar,8,8.62,14.16,22.78,2026-01-27T11:39:06+00:00,1
gzip,0,9.09,9.81,18.90,2026-01-27T11:39:34+00:00,1
gzip,2,5.70,8.73,14.43,2026-01-27T11:39:57+00:00,1
gzip,4,4.39,10.33,14.72,2026-01-27T11:40:22+00:00,1
gzip,8,5.22,10.21,15.43,2026-01-27T11:40:46+00:00,1
lz4,0,4.22,10.96,15.18,2026-01-27T11:41:11+00:00,1
lz4,2,3.66,10.29,13.95,2026-01-27T11:41:34+00:00,1
lz4,4,3.64,9.52,13.16,2026-01-27T11:41:56+00:00,1
lz4,8,4.03,10.78,14.81,2026-01-27T11:42:20+00:00,1
zlib,0,9.33,10.80,20.13,2026-01-27T11:42:49+00:00,1
zlib,2,6.07,11.69,17.76,2026-01-27T11:43:16+00:00,1
zlib,4,4.89,10.83,15.72,2026-01-27T11:43:41+00:00,1
zlib,8,5.95,11.76,17.71,2026-01-27T11:44:07+00:00,1
none,0,8.04,16.44,24.48,2026-01-27T11:44:42+00:00,2
none,2,7.66,14.24,21.90,2026-01-27T11:45:13+00:00,2
none,4,6.36,12.80,19.16,2026-01-27T11:45:42+00:00,2
none,8,7.93,12.37,20.30,2026-01-27T11:46:11+00:00,2
tar,0,7.62,12.07,19.69,2026-01-27T11:46:40+00:00,2
tar,2,6.15,12.26,18.41,2026-01-27T11:47:08+00:00,2
tar,4,6.52,12.52,19.04,2026-01-27T11:47:37+00:00,2
tar,8,7.09,13.06,20.15,2026-01-27T11:48:06+00:00,2
gzip,0,9.88,9.56,19.44,2026-01-27T11:48:35+00:00,2
gzip,2,5.46,9.38,14.84,2026-01-27T11:48:59+00:00,2
gzip,4,4.21,9.13,13.34,2026-01-27T11:49:22+00:00,2
gzip,8,4.13,10.46,14.59,2026-01-27T11:49:46+00:00,2
lz4,0,4.62,11.04,15.66,2026-01-27T11:50:10+00:00,2
lz4,2,2.91,9.92,12.83,2026-01-27T11:50:33+00:00,2
lz4,4,3.35,9.71,13.06,2026-01-27T11:50:55+00:00,2
lz4,8,4.25,9.87,14.12,2026-01-27T11:51:18+00:00,2
zlib,0,9.37,9.09,18.46,2026-01-27T11:51:46+00:00,2
zlib,2,5.74,9.47,15.21,2026-01-27T11:52:11+00:00,2
zlib,4,4.73,10.03,14.76,2026-01-27T11:52:35+00:00,2
zlib,8,4.62,10.22,14.84,2026-01-27T11:53:00+00:00,2
none,0,6.78,12.36,19.14,2026-01-27T11:53:28+00:00,3
none,2,6.19,12.94,19.13,2026-01-27T11:53:56+00:00,3
none,4,6.61,13.36,19.97,2026-01-27T11:54:26+00:00,3
none,8,7.16,12.53,19.69,2026-01-27T11:54:55+00:00,3
tar,0,7.11,12.75,19.86,2026-01-27T11:55:25+00:00,3
tar,2,5.93,11.50,17.43,2026-01-27T11:55:52+00:00,3
tar,4,6.06,12.39,18.45,2026-01-27T11:56:20+00:00,3
tar,8,8.40,13.43,21.83,2026-01-27T11:56:51+00:00,3
gzip,0,9.41,9.44,18.85,2026-01-27T11:57:20+00:00,3
gzip,2,5.66,10.16,15.82,2026-01-27T11:57:45+00:00,3
gzip,4,4.53,10.43,14.96,2026-01-27T11:58:09+00:00,3
gzip,8,4.67,10.74,15.41,2026-01-27T11:58:34+00:00,3
lz4,0,3.92,11.75,15.67,2026-01-27T11:58:59+00:00,3
lz4,2,3.86,9.83,13.69,2026-01-27T11:59:22+00:00,3
lz4,4,3.88,10.27,14.15,2026-01-27T11:59:45+00:00,3
lz4,8,4.92,11.29,16.21,2026-01-27T12:00:11+00:00,3
zlib,0,10.12,11.45,21.57,2026-01-27T12:00:43+00:00,3
zlib,2,6.09,11.91,18.00,2026-01-27T12:01:10+00:00,3
zlib,4,5.23,12.26,17.49,2026-01-27T12:01:36+00:00,3
zlib,8,5.06,10.08,15.14,2026-01-27T12:02:00+00:00,3
none,0,7.94,13.83,21.77,2026-01-27T12:02:32+00:00,4
none,2,7.83,12.76,20.59,2026-01-27T12:03:02+00:00,4
none,4,8.32,13.74,22.06,2026-01-27T12:03:34+00:00,4
none,8,8.04,14.34,22.38,2026-01-27T12:04:06+00:00,4
tar,0,8.04,13.47,21.51,2026-01-27T12:04:36+00:00,4
tar,2,6.66,13.76,20.42,2026-01-27T12:05:06+00:00,4
tar,4,8.14,14.91,23.05,2026-01-27T12:05:39+00:00,4
tar,8,9.93,16.20,26.13,2026-01-27T12:06:15+00:00,4
gzip,0,9.49,10.11,19.60,2026-01-27T12:06:44+00:00,4
gzip,2,5.93,11.46,17.39,2026-01-27T12:07:11+00:00,4
gzip,4,4.90,11.60,16.50,2026-01-27T12:07:36+00:00,4
gzip,8,5.19,11.43,16.62,2026-01-27T12:08:02+00:00,4
lz4,0,4.97,11.44,16.41,2026-01-27T12:08:28+00:00,4
lz4,2,4.18,9.44,13.62,2026-01-27T12:08:50+00:00,4
lz4,4,4.30,10.12,14.42,2026-01-27T12:09:14+00:00,4
lz4,8,5.54,11.30,16.84,2026-01-27T12:09:40+00:00,4
zlib,0,9.61,9.93,19.54,2026-01-27T12:10:09+00:00,4
zlib,2,5.84,10.37,16.21,2026-01-27T12:10:35+00:00,4
zlib,4,4.70,9.93,14.63,2026-01-27T12:10:59+00:00,4
zlib,8,4.40,9.59,13.99,2026-01-27T12:11:22+00:00,4
none,0,7.12,13.25,20.37,2026-01-27T12:11:52+00:00,5
none,2,8.96,14.91,23.87,2026-01-27T12:12:25+00:00,5
none,4,7.55,13.39,20.94,2026-01-27T12:12:56+00:00,5
none,8,9.48,15.27,24.75,2026-01-27T12:13:30+00:00,5
tar,0,8.39,13.48,21.87,2026-01-27T12:14:02+00:00,5
tar,2,6.89,13.40,20.29,2026-01-27T12:14:31+00:00,5
tar,4,11.84,16.21,28.05,2026-01-27T12:15:08+00:00,5
tar,8,9.27,14.71,23.98,2026-01-27T12:15:42+00:00,5
gzip,0,9.81,10.32,20.13,2026-01-27T12:16:11+00:00,5
gzip,2,5.66,10.64,16.30,2026-01-27T12:16:37+00:00,5
gzip,4,4.36,10.19,14.55,2026-01-27T12:17:01+00:00,5
gzip,8,4.87,9.79,14.66,2026-01-27T12:17:25+00:00,5
lz4,0,4.60,10.72,15.32,2026-01-27T12:17:50+00:00,5
