compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,5.96,8.74,14.70,2026-03-03T16:47:44+00:00,1
none,2,5.40,7.46,12.86,2026-03-03T16:48:06+00:00,1
none,4,4.81,8.08,12.89,2026-03-03T16:48:30+00:00,1
none,8,5.08,7.27,12.35,2026-03-03T16:48:52+00:00,1
tar,0,4.93,8.26,13.19,2026-03-03T16:49:15+00:00,1
tar,2,4.84,7.35,12.19,2026-03-03T16:49:37+00:00,1
tar,4,5.62,7.45,13.07,2026-03-03T16:50:00+00:00,1
tar,8,5.74,7.32,13.06,2026-03-03T16:50:21+00:00,1
gzip,0,9.61,9.15,18.76,2026-03-03T16:50:47+00:00,1
gzip,2,9.39,7.48,16.87,2026-03-03T16:51:12+00:00,1
gzip,4,4.58,7.38,11.96,2026-03-03T16:51:34+00:00,1
gzip,8,4.34,7.72,12.06,2026-03-03T16:51:56+00:00,1
lz4,0,4.02,7.39,11.41,2026-03-03T16:52:15+00:00,1
lz4,2,3.06,6.90,9.96,2026-03-03T16:52:32+00:00,1
lz4,4,2.77,7.41,10.18,2026-03-03T16:52:50+00:00,1
lz4,8,3.21,7.22,10.43,2026-03-03T16:53:08+00:00,1
zlib,0,10.05,6.29,16.34,2026-03-03T16:53:34+00:00,1
zlib,2,9.50,7.30,16.80,2026-03-03T16:53:59+00:00,1
zlib,4,4.83,7.89,12.72,2026-03-03T16:54:21+00:00,1
zlib,8,4.18,8.17,12.35,2026-03-03T16:54:42+00:00,1
none,0,5.41,9.00,14.41,2026-03-03T16:55:07+00:00,2
none,2,5.17,6.98,12.15,2026-03-03T16:55:29+00:00,2
none,4,5.48,7.44,12.92,2026-03-03T16:55:51+00:00,2
none,8,5.98,8.35,14.33,2026-03-03T16:56:15+00:00,2
tar,0,5.52,10.49,16.01,2026-03-03T16:56:41+00:00,2
tar,2,6.12,5.09,11.21,2026-03-03T16:57:02+00:00,2
tar,4,5.33,7.31,12.64,2026-03-03T16:57:24+00:00,2
tar,8,6.17,5.63,11.80,2026-03-03T16:57:46+00:00,2
gzip,0,9.37,6.96,16.33,2026-03-03T16:58:12+00:00,2
gzip,2,9.27,6.78,16.05,2026-03-03T16:58:36+00:00,2
gzip,4,5.10,7.02,12.12,2026-03-03T16:58:56+00:00,2
gzip,8,4.49,7.52,12.01,2026-03-03T16:59:15+00:00,2
lz4,0,4.08,7.54,11.62,2026-03-03T16:59:34+00:00,2
lz4,2,3.57,5.09,8.66,2026-03-03T16:59:53+00:00,2
lz4,4,3.63,5.18,8.81,2026-03-03T17:00:11+00:00,2
lz4,8,4.35,8.19,12.54,2026-03-03T17:00:33+00:00,2
zlib,0,9.26,9.34,18.60,2026-03-03T17:01:02+00:00,2
zlib,2,9.81,7.13,16.94,2026-03-03T17:01:27+00:00,2
zlib,4,5.38,7.12,12.50,2026-03-03T17:01:47+00:00,2
zlib,8,4.68,8.23,12.91,2026-03-03T17:02:07+00:00,2
none,0,5.95,11.92,17.87,2026-03-03T17:02:35+00:00,3
none,2,6.04,7.55,13.59,2026-03-03T17:02:59+00:00,3
none,4,7.41,7.32,14.73,2026-03-03T17:03:21+00:00,3
none,8,9.68,7.51,17.19,2026-03-03T17:03:46+00:00,3
tar,0,6.40,10.84,17.24,2026-03-03T17:04:12+00:00,3
tar,2,5.02,6.66,11.68,2026-03-03T17:04:34+00:00,3
tar,4,4.93,7.93,12.86,2026-03-03T17:04:55+00:00,3
tar,8,5.83,7.56,13.39,2026-03-03T17:05:16+00:00,3
gzip,0,9.61,6.14,15.75,2026-03-03T17:05:41+00:00,3
gzip,2,9.37,5.08,14.45,2026-03-03T17:06:05+00:00,3
gzip,4,4.70,7.66,12.36,2026-03-03T17:06:27+00:00,3
gzip,8,4.18,7.77,11.95,2026-03-03T17:06:49+00:00,3
lz4,0,3.30,9.62,12.92,2026-03-03T17:07:11+00:00,3
lz4,2,2.92,6.58,9.50,2026-03-03T17:07:30+00:00,3
lz4,4,2.85,7.78,10.63,2026-03-03T17:07:48+00:00,3
lz4,8,3.35,8.08,11.43,2026-03-03T17:08:10+00:00,3
zlib,0,9.46,8.15,17.61,2026-03-03T17:08:35+00:00,3
zlib,2,9.63,7.14,16.77,2026-03-03T17:09:02+00:00,3
zlib,4,4.90,7.12,12.02,2026-03-03T17:09:21+00:00,3
zlib,8,4.39,8.32,12.71,2026-03-03T17:09:42+00:00,3
