compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,1.07,4.09,5.16,2026-03-03T15:16:35+00:00,1
none,2,1.33,6.72,8.05,2026-03-03T15:16:52+00:00,1
none,4,0.97,4.44,5.41,2026-03-03T15:17:04+00:00,1
none,8,0.93,6.24,7.17,2026-03-03T15:17:20+00:00,1
tar,0,1.86,6.58,8.44,2026-03-03T15:17:36+00:00,1
tar,2,1.35,6.83,8.18,2026-03-03T15:17:53+00:00,1
tar,4,0.97,7.35,8.32,2026-03-03T15:18:10+00:00,1
tar,8,0.93,7.13,8.06,2026-03-03T15:18:25+00:00,1
gzip,0,7.59,7.64,15.23,2026-03-03T15:18:50+00:00,1
gzip,2,7.32,4.64,11.96,2026-03-03T15:19:11+00:00,1
gzip,4,2.94,4.63,7.57,2026-03-03T15:19:25+00:00,1
gzip,8,2.09,6.47,8.56,2026-03-03T15:19:43+00:00,1
lz4,0,1.70,8.12,9.82,2026-03-03T15:20:02+00:00,1
lz4,2,1.06,5.21,6.27,2026-03-03T15:20:15+00:00,1
lz4,4,0.97,6.91,7.88,2026-03-03T15:20:30+00:00,1
lz4,8,0.91,7.12,8.03,2026-03-03T15:20:45+00:00,1
zlib,0,7.82,7.89,15.71,2026-03-03T15:21:07+00:00,1
zlib,2,7.53,7.05,14.58,2026-03-03T15:21:31+00:00,1
zlib,4,2.93,7.08,10.01,2026-03-03T15:21:48+00:00,1
zlib,8,2.15,6.51,8.66,2026-03-03T15:22:06+00:00,1
none,0,1.08,6.39,7.47,2026-03-03T15:22:20+00:00,2
none,2,1.36,4.48,5.84,2026-03-03T15:22:33+00:00,2
none,4,0.98,7.26,8.24,2026-03-03T15:22:50+00:00,2
none,8,0.94,6.91,7.85,2026-03-03T15:23:05+00:00,2
tar,0,1.83,6.74,8.57,2026-03-03T15:23:20+00:00,2
tar,2,1.43,6.51,7.94,2026-03-03T15:23:35+00:00,2
tar,4,0.97,6.68,7.65,2026-03-03T15:23:52+00:00,2
tar,8,0.94,6.64,7.58,2026-03-03T15:24:10+00:00,2
gzip,0,7.65,7.51,15.16,2026-03-03T15:24:34+00:00,2
gzip,2,7.37,4.70,12.07,2026-03-03T15:24:53+00:00,2
gzip,4,2.91,6.57,9.48,2026-03-03T15:25:10+00:00,2
gzip,8,2.10,4.52,6.62,2026-03-03T15:25:26+00:00,2
lz4,0,1.70,7.96,9.66,2026-03-03T15:25:45+00:00,2
lz4,2,1.07,5.00,6.07,2026-03-03T15:26:00+00:00,2
lz4,4,0.95,7.00,7.95,2026-03-03T15:26:17+00:00,2
lz4,8,0.93,4.87,5.80,2026-03-03T15:26:30+00:00,2
zlib,0,7.77,5.25,13.02,2026-03-03T15:26:52+00:00,2
zlib,2,7.59,6.98,14.57,2026-03-03T15:27:16+00:00,2
zlib,4,2.97,7.16,10.13,2026-03-03T15:27:35+00:00,2
zlib,8,2.13,7.29,9.42,2026-03-03T15:27:51+00:00,2
none,0,1.07,6.01,7.08,2026-03-03T15:28:08+00:00,3
none,2,1.40,4.53,5.93,2026-03-03T15:28:23+00:00,3
none,4,0.97,4.68,5.65,2026-03-03T15:28:36+00:00,3
none,8,0.94,6.88,7.82,2026-03-03T15:28:53+00:00,3
tar,0,1.84,4.76,6.60,2026-03-03T15:29:09+00:00,3
tar,2,1.38,4.48,5.86,2026-03-03T15:29:25+00:00,3
tar,4,0.97,4.45,5.42,2026-03-03T15:29:37+00:00,3
tar,8,0.94,4.56,5.50,2026-03-03T15:29:51+00:00,3
gzip,0,7.57,6.85,14.42,2026-03-03T15:30:15+00:00,3
gzip,2,7.28,4.80,12.08,2026-03-03T15:30:36+00:00,3
gzip,4,2.93,6.74,9.67,2026-03-03T15:30:53+00:00,3
gzip,8,2.06,4.62,6.68,2026-03-03T15:31:09+00:00,3
lz4,0,1.70,6.03,7.73,2026-03-03T15:31:26+00:00,3
lz4,2,1.06,7.78,8.84,2026-03-03T15:31:43+00:00,3
lz4,4,0.96,7.02,7.98,2026-03-03T15:32:01+00:00,3
lz4,8,0.93,6.80,7.73,2026-03-03T15:32:15+00:00,3
zlib,0,8.24,5.21,13.45,2026-03-03T15:32:35+00:00,3
zlib,2,7.51,6.82,14.33,2026-03-03T15:32:57+00:00,3
zlib,4,2.92,7.14,10.06,2026-03-03T15:33:13+00:00,3
zlib,8,2.14,6.39,8.53,2026-03-03T15:33:31+00:00,3
