compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,0.79,0.55,1.34,2026-01-26T14:11:26+00:00,1
none,2,0.73,0.92,1.65,2026-01-26T14:11:31+00:00,1
none,4,0.61,0.95,1.56,2026-01-26T14:11:36+00:00,1
none,8,0.55,0.92,1.47,2026-01-26T14:11:41+00:00,1
tar,0,1.29,1.03,2.32,2026-01-26T14:11:46+00:00,1
tar,2,0.74,0.90,1.64,2026-01-26T14:11:51+00:00,1
tar,4,0.61,0.94,1.55,2026-01-26T14:11:55+00:00,1
tar,8,0.59,0.93,1.52,2026-01-26T14:12:00+00:00,1
gzip,0,2.32,1.15,3.47,2026-01-26T14:12:07+00:00,1
gzip,2,1.26,0.96,2.22,2026-01-26T14:12:12+00:00,1
gzip,4,0.87,0.92,1.79,2026-01-26T14:12:17+00:00,1
gzip,8,0.78,0.91,1.69,2026-01-26T14:12:22+00:00,1
lz4,0,1.19,2.33,3.52,2026-01-26T14:12:28+00:00,1
lz4,2,0.63,1.62,2.25,2026-01-26T14:12:33+00:00,1
lz4,4,0.63,1.38,2.01,2026-01-26T14:12:38+00:00,1
lz4,8,0.57,1.34,1.91,2026-01-26T14:12:43+00:00,1
zlib,0,2.44,1.28,3.72,2026-01-26T14:12:50+00:00,1
zlib,2,1.32,0.94,2.26,2026-01-26T14:12:55+00:00,1
zlib,4,0.94,0.94,1.88,2026-01-26T14:13:00+00:00,1
zlib,8,0.85,0.92,1.77,2026-01-26T14:13:05+00:00,1
none,0,0.77,0.56,1.33,2026-01-26T14:13:09+00:00,2
none,2,0.70,0.91,1.61,2026-01-26T14:13:14+00:00,2
none,4,0.61,0.91,1.52,2026-01-26T14:13:19+00:00,2
none,8,0.56,0.93,1.49,2026-01-26T14:13:24+00:00,2
tar,0,1.29,1.05,2.34,2026-01-26T14:13:29+00:00,2
tar,2,0.73,0.92,1.65,2026-01-26T14:13:34+00:00,2
tar,4,0.63,0.94,1.57,2026-01-26T14:13:38+00:00,2
tar,8,0.59,0.94,1.53,2026-01-26T14:13:43+00:00,2
gzip,0,2.32,1.13,3.45,2026-01-26T14:13:50+00:00,2
gzip,2,1.30,0.98,2.28,2026-01-26T14:13:55+00:00,2
gzip,4,0.90,0.93,1.83,2026-01-26T14:14:00+00:00,2
gzip,8,0.82,0.93,1.75,2026-01-26T14:14:05+00:00,2
lz4,0,1.19,2.31,3.50,2026-01-26T14:14:11+00:00,2
lz4,2,0.62,1.60,2.22,2026-01-26T14:14:16+00:00,2
lz4,4,0.57,1.41,1.98,2026-01-26T14:14:21+00:00,2
lz4,8,0.58,1.31,1.89,2026-01-26T14:14:26+00:00,2
zlib,0,2.45,1.28,3.73,2026-01-26T14:14:33+00:00,2
