compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,0.62,0.38,1.00,2026-03-03T14:29:40+00:00,1
none,2,0.75,0.67,1.42,2026-03-03T14:29:45+00:00,1
none,4,0.45,0.63,1.08,2026-03-03T14:29:50+00:00,1
none,8,0.37,0.68,1.05,2026-03-03T14:29:54+00:00,1
tar,0,1.08,0.92,2.00,2026-03-03T14:30:00+00:00,1
tar,2,0.75,0.72,1.47,2026-03-03T14:30:05+00:00,1
tar,4,0.43,0.68,1.11,2026-03-03T14:30:10+00:00,1
tar,8,0.38,0.68,1.06,2026-03-03T14:30:15+00:00,1
gzip,0,2.12,1.02,3.14,2026-03-03T14:30:22+00:00,1
gzip,2,1.82,0.67,2.49,2026-03-03T14:30:28+00:00,1
gzip,4,0.80,0.68,1.48,2026-03-03T14:30:33+00:00,1
gzip,8,0.61,0.68,1.29,2026-03-03T14:30:38+00:00,1
lz4,0,0.94,2.14,3.08,2026-03-03T14:30:45+00:00,1
lz4,2,0.53,1.29,1.82,2026-03-03T14:30:50+00:00,1
lz4,4,0.39,1.04,1.43,2026-03-03T14:30:55+00:00,1
lz4,8,0.36,0.94,1.30,2026-03-03T14:31:00+00:00,1
zlib,0,2.21,1.13,3.34,2026-03-03T14:31:07+00:00,1
zlib,2,1.83,0.72,2.55,2026-03-03T14:31:13+00:00,1
zlib,4,0.88,0.67,1.55,2026-03-03T14:31:18+00:00,1
zlib,8,0.67,0.71,1.38,2026-03-03T14:31:23+00:00,1
none,0,0.60,0.39,.99,2026-03-03T14:31:28+00:00,2
none,2,0.78,0.69,1.47,2026-03-03T14:31:33+00:00,2
none,4,0.46,0.68,1.14,2026-03-03T14:31:38+00:00,2
none,8,0.38,0.69,1.07,2026-03-03T14:31:43+00:00,2
tar,0,1.10,0.91,2.01,2026-03-03T14:31:48+00:00,2
tar,2,0.80,0.68,1.48,2026-03-03T14:31:54+00:00,2
tar,4,0.45,0.68,1.13,2026-03-03T14:31:59+00:00,2
tar,8,0.39,0.67,1.06,2026-03-03T14:32:03+00:00,2
gzip,0,2.10,1.03,3.13,2026-03-03T14:32:10+00:00,2
gzip,2,1.77,0.72,2.49,2026-03-03T14:32:16+00:00,2
gzip,4,0.81,0.69,1.50,2026-03-03T14:32:21+00:00,2
gzip,8,0.63,0.68,1.31,2026-03-03T14:32:26+00:00,2
lz4,0,0.93,2.14,3.07,2026-03-03T14:32:33+00:00,2
lz4,2,0.52,1.29,1.81,2026-03-03T14:32:38+00:00,2
lz4,4,0.41,1.04,1.45,2026-03-03T14:32:44+00:00,2
lz4,8,0.36,0.93,1.29,2026-03-03T14:32:48+00:00,2
zlib,0,2.20,1.12,3.32,2026-03-03T14:32:55+00:00,2
zlib,2,1.86,0.74,2.60,2026-03-03T14:33:02+00:00,2
zlib,4,0.82,0.68,1.50,2026-03-03T14:33:07+00:00,2
zlib,8,0.64,0.70,1.34,2026-03-03T14:33:12+00:00,2
none,0,0.59,0.38,.97,2026-03-03T14:33:16+00:00,3
none,2,0.81,0.73,1.54,2026-03-03T14:33:22+00:00,3
none,4,0.46,0.69,1.15,2026-03-03T14:33:26+00:00,3
none,8,0.38,0.67,1.05,2026-03-03T14:33:31+00:00,3
tar,0,1.09,0.92,2.01,2026-03-03T14:33:37+00:00,3
tar,2,0.81,0.73,1.54,2026-03-03T14:33:42+00:00,3
tar,4,0.45,0.70,1.15,2026-03-03T14:33:47+00:00,3
tar,8,0.38,0.68,1.06,2026-03-03T14:33:52+00:00,3
gzip,0,2.11,1.02,3.13,2026-03-03T14:33:59+00:00,3
gzip,2,1.76,0.72,2.48,2026-03-03T14:34:05+00:00,3
gzip,4,0.81,0.67,1.48,2026-03-03T14:34:10+00:00,3
gzip,8,0.66,0.68,1.34,2026-03-03T14:34:15+00:00,3
lz4,0,0.93,2.15,3.08,2026-03-03T14:34:22+00:00,3
lz4,2,0.52,1.29,1.81,2026-03-03T14:34:27+00:00,3
lz4,4,0.37,1.03,1.40,2026-03-03T14:34:32+00:00,3
lz4,8,0.36,0.95,1.31,2026-03-03T14:34:37+00:00,3
zlib,0,2.20,1.13,3.33,2026-03-03T14:34:44+00:00,3
zlib,2,1.88,0.72,2.60,2026-03-03T14:34:50+00:00,3
zlib,4,0.88,0.68,1.56,2026-03-03T14:34:55+00:00,3
zlib,8,0.68,0.69,1.37,2026-03-03T14:35:00+00:00,3
