compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,7.86,8.75,16.61,2026-03-03T17:35:31+00:00,1
none,2,6.34,7.74,14.08,2026-03-03T17:35:53+00:00,1
none,4,6.39,7.05,13.44,2026-03-03T17:36:14+00:00,1
none,8,9.65,9.82,19.47,2026-03-03T17:36:42+00:00,1
tar,0,7.13,9.26,16.39,2026-03-03T17:37:08+00:00,1
tar,2,6.19,9.83,16.02,2026-03-03T17:37:34+00:00,1
tar,4,6.56,10.31,16.87,2026-03-03T17:37:59+00:00,1
tar,8,7.09,7.99,15.08,2026-03-03T17:38:21+00:00,1
gzip,0,9.88,9.01,18.89,2026-03-03T17:38:50+00:00,1
gzip,2,9.50,6.00,15.50,2026-03-03T17:39:13+00:00,1
gzip,4,4.74,6.03,10.77,2026-03-03T17:39:34+00:00,1
gzip,8,4.51,6.45,10.96,2026-03-03T17:39:54+00:00,1
lz4,0,3.74,7.65,11.39,2026-03-03T17:40:16+00:00,1
lz4,2,3.64,8.14,11.78,2026-03-03T17:40:35+00:00,1
lz4,4,3.56,8.39,11.95,2026-03-03T17:40:55+00:00,1
lz4,8,4.07,6.17,10.24,2026-03-03T17:41:15+00:00,1
zlib,0,9.49,8.93,18.42,2026-03-03T17:41:43+00:00,1
zlib,2,9.69,8.88,18.57,2026-03-03T17:42:12+00:00,1
zlib,4,4.95,7.62,12.57,2026-03-03T17:42:34+00:00,1
zlib,8,4.35,8.93,13.28,2026-03-03T17:42:55+00:00,1
none,0,7.76,10.84,18.60,2026-03-03T17:43:21+00:00,2
none,2,6.66,9.67,16.33,2026-03-03T17:43:47+00:00,2
none,4,6.63,10.52,17.15,2026-03-03T17:44:14+00:00,2
none,8,7.41,10.97,18.38,2026-03-03T17:44:42+00:00,2
tar,0,7.74,8.10,15.84,2026-03-03T17:45:07+00:00,2
tar,2,5.71,9.42,15.13,2026-03-03T17:45:30+00:00,2
tar,4,6.25,7.07,13.32,2026-03-03T17:45:51+00:00,2
tar,8,6.86,10.45,17.31,2026-03-03T17:46:16+00:00,2
gzip,0,9.43,6.75,16.18,2026-03-03T17:46:39+00:00,2
gzip,2,9.67,7.98,17.65,2026-03-03T17:47:07+00:00,2
gzip,4,4.79,8.84,13.63,2026-03-03T17:47:31+00:00,2
gzip,8,4.47,8.80,13.27,2026-03-03T17:47:53+00:00,2
lz4,0,3.81,7.34,11.15,2026-03-03T17:48:12+00:00,2
lz4,2,3.28,7.55,10.83,2026-03-03T17:48:31+00:00,2
lz4,4,2.66,7.68,10.34,2026-03-03T17:48:51+00:00,2
lz4,8,4.25,6.14,10.39,2026-03-03T17:49:12+00:00,2
zlib,0,9.59,9.41,19.00,2026-03-03T17:49:38+00:00,2
zlib,2,9.56,8.40,17.96,2026-03-03T17:50:06+00:00,2
zlib,4,5.28,8.17,13.45,2026-03-03T17:50:29+00:00,2
zlib,8,4.48,8.47,12.95,2026-03-03T17:50:51+00:00,2
none,0,6.64,10.16,16.80,2026-03-03T17:51:18+00:00,3
none,2,6.00,8.66,14.66,2026-03-03T17:51:40+00:00,3
none,4,6.60,10.35,16.95,2026-03-03T17:52:07+00:00,3
none,8,6.66,10.20,16.86,2026-03-03T17:52:31+00:00,3
tar,0,6.61,11.04,17.65,2026-03-03T17:52:56+00:00,3
tar,2,7.02,10.30,17.32,2026-03-03T17:53:24+00:00,3
tar,4,6.37,7.65,14.02,2026-03-03T17:53:45+00:00,3
tar,8,7.76,8.33,16.09,2026-03-03T17:54:09+00:00,3
gzip,0,9.28,9.58,18.86,2026-03-03T17:54:38+00:00,3
gzip,2,9.82,8.21,18.03,2026-03-03T17:55:05+00:00,3
gzip,4,4.97,8.17,13.14,2026-03-03T17:55:26+00:00,3
gzip,8,4.38,6.71,11.09,2026-03-03T17:55:47+00:00,3
lz4,0,4.40,10.26,14.66,2026-03-03T17:56:12+00:00,3
lz4,2,3.43,8.27,11.70,2026-03-03T17:56:31+00:00,3
lz4,4,3.57,7.94,11.51,2026-03-03T17:56:50+00:00,3
lz4,8,4.10,6.25,10.35,2026-03-03T17:57:10+00:00,3
zlib,0,9.96,8.30,18.26,2026-03-03T17:57:38+00:00,3
zlib,2,9.58,8.04,17.62,2026-03-03T17:58:03+00:00,3
zlib,4,5.02,6.07,11.09,2026-03-03T17:58:24+00:00,3
zlib,8,4.45,9.17,13.62,2026-03-03T17:58:48+00:00,3
