compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,3.44,3.14,6.58,2026-03-03T15:53:10+00:00,1
none,2,4.21,2.73,6.94,2026-03-03T15:53:22+00:00,1
none,4,3.08,2.56,5.64,2026-03-03T15:53:32+00:00,1
none,8,3.51,2.68,6.19,2026-03-03T15:53:43+00:00,1
tar,0,3.78,2.87,6.65,2026-03-03T15:53:54+00:00,1
tar,2,2.93,3.29,6.22,2026-03-03T15:54:04+00:00,1
tar,4,3.14,2.48,5.62,2026-03-03T15:54:14+00:00,1
tar,8,3.47,2.63,6.10,2026-03-03T15:54:25+00:00,1
gzip,0,2.55,1.43,3.98,2026-03-03T15:54:34+00:00,1
gzip,2,2.35,1.39,3.74,2026-03-03T15:54:42+00:00,1
gzip,4,1.62,1.52,3.14,2026-03-03T15:54:49+00:00,1
gzip,8,1.70,1.87,3.57,2026-03-03T15:54:57+00:00,1
lz4,0,1.40,2.59,3.99,2026-03-03T15:55:06+00:00,1
lz4,2,1.12,1.94,3.06,2026-03-03T15:55:13+00:00,1
lz4,4,1.09,1.74,2.83,2026-03-03T15:55:21+00:00,1
lz4,8,1.40,1.92,3.32,2026-03-03T15:55:29+00:00,1
zlib,0,2.68,1.57,4.25,2026-03-03T15:55:37+00:00,1
zlib,2,2.46,1.38,3.84,2026-03-03T15:55:46+00:00,1
zlib,4,1.56,1.54,3.10,2026-03-03T15:55:53+00:00,1
zlib,8,1.71,1.87,3.58,2026-03-03T15:56:01+00:00,1
none,0,3.41,3.03,6.44,2026-03-03T15:56:12+00:00,2
none,2,2.84,2.52,5.36,2026-03-03T15:56:22+00:00,2
none,4,2.92,2.48,5.40,2026-03-03T15:56:32+00:00,2
none,8,3.32,2.73,6.05,2026-03-03T15:56:42+00:00,2
tar,0,3.08,2.73,5.81,2026-03-03T15:56:53+00:00,2
tar,2,3.07,2.41,5.48,2026-03-03T15:57:03+00:00,2
tar,4,3.04,2.37,5.41,2026-03-03T15:57:13+00:00,2
tar,8,3.50,2.58,6.08,2026-03-03T15:57:23+00:00,2
gzip,0,2.55,1.45,4.00,2026-03-03T15:57:32+00:00,2
gzip,2,2.31,1.41,3.72,2026-03-03T15:57:40+00:00,2
gzip,4,1.53,1.52,3.05,2026-03-03T15:57:47+00:00,2
gzip,8,1.71,1.85,3.56,2026-03-03T15:57:55+00:00,2
lz4,0,1.41,2.59,4.00,2026-03-03T15:58:04+00:00,2
lz4,2,1.08,1.89,2.97,2026-03-03T15:58:11+00:00,2
lz4,4,1.13,1.72,2.85,2026-03-03T15:58:19+00:00,2
lz4,8,1.49,1.92,3.41,2026-03-03T15:58:26+00:00,2
zlib,0,2.67,1.57,4.24,2026-03-03T15:58:35+00:00,2
zlib,2,2.86,1.43,4.29,2026-03-03T15:58:44+00:00,2
zlib,4,1.57,1.49,3.06,2026-03-03T15:58:51+00:00,2
zlib,8,1.75,1.88,3.63,2026-03-03T15:58:59+00:00,2
none,0,3.05,2.53,5.58,2026-03-03T15:59:10+00:00,3
none,2,3.16,2.86,6.02,2026-03-03T15:59:20+00:00,3
none,4,3.03,2.41,5.44,2026-03-03T15:59:30+00:00,3
none,8,3.34,3.06,6.40,2026-03-03T15:59:41+00:00,3
tar,0,3.09,2.63,5.72,2026-03-03T15:59:51+00:00,3
tar,2,2.84,2.75,5.59,2026-03-03T16:00:01+00:00,3
tar,4,3.05,2.89,5.94,2026-03-03T16:00:11+00:00,3
tar,8,3.48,2.99,6.47,2026-03-03T16:00:22+00:00,3
gzip,0,2.57,1.46,4.03,2026-03-03T16:00:31+00:00,3
gzip,2,2.37,1.40,3.77,2026-03-03T16:00:39+00:00,3
gzip,4,1.53,1.50,3.03,2026-03-03T16:00:47+00:00,3
gzip,8,1.72,1.85,3.57,2026-03-03T16:00:55+00:00,3
lz4,0,1.43,2.62,4.05,2026-03-03T16:01:03+00:00,3
lz4,2,1.10,1.91,3.01,2026-03-03T16:01:11+00:00,3
lz4,4,1.14,1.72,2.86,2026-03-03T16:01:18+00:00,3
lz4,8,1.44,1.88,3.32,2026-03-03T16:01:26+00:00,3
zlib,0,2.70,1.56,4.26,2026-03-03T16:01:35+00:00,3
zlib,2,2.54,1.44,3.98,2026-03-03T16:01:43+00:00,3
zlib,4,1.65,1.57,3.22,2026-03-03T16:01:51+00:00,3
zlib,8,1.74,1.86,3.60,2026-03-03T16:01:59+00:00,3
