compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,1.07,4.07,5.14,2026-03-03T14:37:29+00:00,1
none,2,1.36,5.94,7.30,2026-03-03T14:37:46+00:00,1
none,4,0.96,4.39,5.35,2026-03-03T14:38:00+00:00,1
none,8,0.92,4.46,5.38,2026-03-03T14:38:13+00:00,1
tar,0,1.84,4.62,6.46,2026-03-03T14:38:26+00:00,1
tar,2,1.44,4.44,5.88,2026-03-03T14:38:42+00:00,1
tar,4,0.98,6.42,7.40,2026-03-03T14:38:58+00:00,1
tar,8,0.93,6.78,7.71,2026-03-03T14:39:12+00:00,1
gzip,0,7.72,6.75,14.47,2026-03-03T14:39:36+00:00,1
gzip,2,7.69,7.02,14.71,2026-03-03T14:40:00+00:00,1
gzip,4,2.92,4.22,7.14,2026-03-03T14:40:14+00:00,1
gzip,8,2.10,4.43,6.53,2026-03-03T14:40:30+00:00,1
lz4,0,1.68,8.08,9.76,2026-03-03T14:40:48+00:00,1
lz4,2,1.09,4.22,5.31,2026-03-03T14:41:00+00:00,1
lz4,4,0.94,4.33,5.27,2026-03-03T14:41:12+00:00,1
lz4,8,0.91,4.32,5.23,2026-03-03T14:41:26+00:00,1
zlib,0,8.23,7.60,15.83,2026-03-03T14:41:52+00:00,1
zlib,2,7.46,6.65,14.11,2026-03-03T14:42:15+00:00,1
zlib,4,2.98,7.07,10.05,2026-03-03T14:42:32+00:00,1
zlib,8,2.13,6.76,8.89,2026-03-03T14:42:50+00:00,1
none,0,1.07,3.87,4.94,2026-03-03T14:43:05+00:00,2
none,2,1.37,6.08,7.45,2026-03-03T14:43:19+00:00,2
none,4,0.98,4.22,5.20,2026-03-03T14:43:31+00:00,2
none,8,0.92,4.43,5.35,2026-03-03T14:43:46+00:00,2
tar,0,1.84,7.18,9.02,2026-03-03T14:44:05+00:00,2
tar,2,1.33,4.37,5.70,2026-03-03T14:44:19+00:00,2
tar,4,0.97,6.70,7.67,2026-03-03T14:44:36+00:00,2
tar,8,0.92,6.95,7.87,2026-03-03T14:44:51+00:00,2
gzip,0,7.84,4.81,12.65,2026-03-03T14:45:10+00:00,2
gzip,2,7.54,4.23,11.77,2026-03-03T14:45:31+00:00,2
gzip,4,2.89,4.31,7.20,2026-03-03T14:45:45+00:00,2
gzip,8,2.06,4.40,6.46,2026-03-03T14:45:59+00:00,2
lz4,0,1.70,8.66,10.36,2026-03-03T14:46:16+00:00,2
lz4,2,1.06,4.31,5.37,2026-03-03T14:46:31+00:00,2
lz4,4,0.94,6.44,7.38,2026-03-03T14:46:48+00:00,2
lz4,8,0.91,4.39,5.30,2026-03-03T14:47:02+00:00,2
zlib,0,7.95,4.97,12.92,2026-03-03T14:47:24+00:00,2
zlib,2,7.48,6.79,14.27,2026-03-03T14:47:45+00:00,2
zlib,4,3.04,7.11,10.15,2026-03-03T14:48:02+00:00,2
zlib,8,2.13,4.31,6.44,2026-03-03T14:48:15+00:00,2
none,0,1.07,6.56,7.63,2026-03-03T14:48:32+00:00,3
none,2,1.36,4.21,5.57,2026-03-03T14:48:46+00:00,3
none,4,0.97,4.31,5.28,2026-03-03T14:48:58+00:00,3
none,8,0.94,4.37,5.31,2026-03-03T14:49:13+00:00,3
tar,0,1.84,6.89,8.73,2026-03-03T14:49:31+00:00,3
tar,2,1.37,6.61,7.98,2026-03-03T14:49:46+00:00,3
tar,4,0.97,6.57,7.54,2026-03-03T14:50:00+00:00,3
tar,8,0.95,6.14,7.09,2026-03-03T14:50:17+00:00,3
gzip,0,8.05,4.90,12.95,2026-03-03T14:50:39+00:00,3
gzip,2,7.34,6.30,13.64,2026-03-03T14:50:59+00:00,3
gzip,4,2.97,6.65,9.62,2026-03-03T14:51:16+00:00,3
gzip,8,2.08,6.64,8.72,2026-03-03T14:51:34+00:00,3
lz4,0,1.69,5.88,7.57,2026-03-03T14:51:51+00:00,3
lz4,2,1.07,6.74,7.81,2026-03-03T14:52:08+00:00,3
lz4,4,0.96,4.25,5.21,2026-03-03T14:52:22+00:00,3
lz4,8,0.92,6.25,7.17,2026-03-03T14:52:36+00:00,3
zlib,0,8.16,7.11,15.27,2026-03-03T14:52:58+00:00,3
zlib,2,7.43,6.79,14.22,2026-03-03T14:53:22+00:00,3
zlib,4,2.92,4.27,7.19,2026-03-03T14:53:38+00:00,3
zlib,8,2.12,4.37,6.49,2026-03-03T14:53:54+00:00,3
