compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,4.23,2.81,7.04,2026-01-27T14:16:13+00:00,1
none,2,2.84,2.64,5.48,2026-01-27T14:16:23+00:00,1
none,4,3.09,3.01,6.10,2026-01-27T14:16:33+00:00,1
none,8,3.59,3.04,6.63,2026-01-27T14:16:43+00:00,1
tar,0,3.32,3.00,6.32,2026-01-27T14:16:54+00:00,1
tar,2,3.17,2.92,6.09,2026-01-27T14:17:04+00:00,1
tar,4,3.21,2.95,6.16,2026-01-27T14:17:14+00:00,1
tar,8,3.41,3.20,6.61,2026-01-27T14:17:25+00:00,1
gzip,0,2.92,1.41,4.33,2026-01-27T14:17:33+00:00,1
gzip,2,1.55,1.40,2.95,2026-01-27T14:17:40+00:00,1
gzip,4,1.37,1.52,2.89,2026-01-27T14:17:47+00:00,1
gzip,8,1.61,1.86,3.47,2026-01-27T14:17:54+00:00,1
lz4,0,1.43,2.62,4.05,2026-01-27T14:18:02+00:00,1
lz4,2,0.96,2.08,3.04,2026-01-27T14:18:09+00:00,1
lz4,4,1.06,1.91,2.97,2026-01-27T14:18:16+00:00,1
lz4,8,1.46,1.99,3.45,2026-01-27T14:18:24+00:00,1
zlib,0,2.66,1.54,4.20,2026-01-27T14:18:32+00:00,1
zlib,2,1.63,1.37,3.00,2026-01-27T14:18:39+00:00,1
zlib,4,1.41,1.52,2.93,2026-01-27T14:18:46+00:00,1
zlib,8,1.64,1.86,3.50,2026-01-27T14:18:54+00:00,1
none,0,3.20,2.85,6.05,2026-01-27T14:19:04+00:00,2
none,2,2.90,2.62,5.52,2026-01-27T14:19:13+00:00,2
none,4,3.15,2.83,5.98,2026-01-27T14:19:23+00:00,2
none,8,3.53,3.38,6.91,2026-01-27T14:19:34+00:00,2
tar,0,3.31,3.08,6.39,2026-01-27T14:19:44+00:00,2
tar,2,3.11,2.77,5.88,2026-01-27T14:19:54+00:00,2
tar,4,3.46,3.02,6.48,2026-01-27T14:20:05+00:00,2
tar,8,3.70,3.32,7.02,2026-01-27T14:20:16+00:00,2
gzip,0,2.96,1.42,4.38,2026-01-27T14:20:24+00:00,2
gzip,2,1.52,1.49,3.01,2026-01-27T14:20:31+00:00,2
gzip,4,1.42,1.54,2.96,2026-01-27T14:20:38+00:00,2
gzip,8,1.65,1.87,3.52,2026-01-27T14:20:46+00:00,2
lz4,0,1.44,2.57,4.01,2026-01-27T14:20:54+00:00,2
lz4,2,0.94,2.14,3.08,2026-01-27T14:21:01+00:00,2
lz4,4,1.07,1.79,2.86,2026-01-27T14:21:08+00:00,2
lz4,8,1.46,2.03,3.49,2026-01-27T14:21:15+00:00,2
zlib,0,2.69,1.53,4.22,2026-01-27T14:21:23+00:00,2
zlib,2,1.79,1.43,3.22,2026-01-27T14:21:31+00:00,2
zlib,4,1.41,1.53,2.94,2026-01-27T14:21:37+00:00,2
zlib,8,1.81,1.87,3.68,2026-01-27T14:21:45+00:00,2
none,0,3.41,3.09,6.50,2026-01-27T14:21:56+00:00,3
none,2,3.28,2.74,6.02,2026-01-27T14:22:06+00:00,3
none,4,3.53,2.99,6.52,2026-01-27T14:22:16+00:00,3
none,8,3.70,3.45,7.15,2026-01-27T14:22:27+00:00,3
tar,0,3.29,3.19,6.48,2026-01-27T14:22:38+00:00,3
tar,2,2.94,2.72,5.66,2026-01-27T14:22:47+00:00,3
tar,4,3.63,3.02,6.65,2026-01-27T14:22:58+00:00,3
tar,8,3.65,3.16,6.81,2026-01-27T14:23:09+00:00,3
gzip,0,2.53,1.42,3.95,2026-01-27T14:23:17+00:00,3
gzip,2,1.56,1.42,2.98,2026-01-27T14:23:24+00:00,3
gzip,4,1.39,1.74,3.13,2026-01-27T14:23:31+00:00,3
gzip,8,1.60,1.93,3.53,2026-01-27T14:23:39+00:00,3
lz4,0,1.44,2.56,4.00,2026-01-27T14:23:47+00:00,3
lz4,2,0.95,2.02,2.97,2026-01-27T14:23:53+00:00,3
lz4,4,1.09,1.79,2.88,2026-01-27T14:24:00+00:00,3
lz4,8,1.36,2.16,3.52,2026-01-27T14:24:08+00:00,3
zlib,0,3.05,1.51,4.56,2026-01-27T14:24:16+00:00,3
zlib,2,1.61,1.41,3.02,2026-01-27T14:24:23+00:00,3
zlib,4,1.45,1.70,3.15,2026-01-27T14:24:31+00:00,3
zlib,8,1.63,1.88,3.51,2026-01-27T14:24:38+00:00,3
none,0,3.20,2.79,5.99,2026-01-27T14:24:48+00:00,4
none,2,2.88,2.82,5.70,2026-01-27T14:24:58+00:00,4
none,4,3.12,2.62,5.74,2026-01-27T14:25:08+00:00,4
none,8,3.75,3.10,6.85,2026-01-27T14:25:18+00:00,4
tar,0,4.97,2.92,7.89,2026-01-27T14:25:30+00:00,4
tar,2,3.30,2.76,6.06,2026-01-27T14:25:40+00:00,4
tar,4,3.57,2.81,6.38,2026-01-27T14:25:51+00:00,4
tar,8,4.16,3.14,7.30,2026-01-27T14:26:02+00:00,4
gzip,0,2.55,1.40,3.95,2026-01-27T14:26:10+00:00,4
gzip,2,1.61,1.45,3.06,2026-01-27T14:26:17+00:00,4
gzip,4,1.36,1.53,2.89,2026-01-27T14:26:24+00:00,4
gzip,8,1.60,1.88,3.48,2026-01-27T14:26:31+00:00,4
lz4,0,1.44,2.56,4.00,2026-01-27T14:26:40+00:00,4
lz4,2,0.93,2.05,2.98,2026-01-27T14:26:47+00:00,4
lz4,4,1.07,1.82,2.89,2026-01-27T14:26:53+00:00,4
lz4,8,1.36,2.08,3.44,2026-01-27T14:27:01+00:00,4
zlib,0,2.65,1.53,4.18,2026-01-27T14:27:09+00:00,4
zlib,2,1.61,1.38,2.99,2026-01-27T14:27:16+00:00,4
zlib,4,1.48,1.55,3.03,2026-01-27T14:27:23+00:00,4
zlib,8,1.73,1.89,3.62,2026-01-27T14:27:31+00:00,4
none,0,3.78,3.30,7.08,2026-01-27T14:27:42+00:00,5
none,2,3.05,2.75,5.80,2026-01-27T14:27:52+00:00,5
none,4,3.18,2.79,5.97,2026-01-27T14:28:02+00:00,5
none,8,3.68,3.30,6.98,2026-01-27T14:28:13+00:00,5
tar,0,3.29,3.07,6.36,2026-01-27T14:28:23+00:00,5
tar,2,3.20,3.16,6.36,2026-01-27T14:28:33+00:00,5
tar,4,3.14,2.80,5.94,2026-01-27T14:28:43+00:00,5
tar,8,3.99,3.25,7.24,2026-01-27T14:28:54+00:00,5
gzip,0,2.95,1.42,4.37,2026-01-27T14:29:03+00:00,5
gzip,2,1.52,1.42,2.94,2026-01-27T14:29:10+00:00,5
gzip,4,1.37,1.56,2.93,2026-01-27T14:29:17+00:00,5
gzip,8,1.60,1.84,3.44,2026-01-27T14:29:24+00:00,5
lz4,0,1.44,2.58,4.02,2026-01-27T14:29:32+00:00,5
lz4,2,0.94,2.05,2.99,2026-01-27T14:29:39+00:00,5
lz4,4,1.08,1.80,2.88,2026-01-27T14:29:46+00:00,5
lz4,8,1.35,2.01,3.36,2026-01-27T14:29:53+00:00,5
zlib,0,2.67,1.52,4.19,2026-01-27T14:30:02+00:00,5
zlib,2,1.64,1.46,3.10,2026-01-27T14:30:09+00:00,5
zlib,4,1.40,1.54,2.94,2026-01-27T14:30:16+00:00,5
zlib,8,1.79,1.86,3.65,2026-01-27T14:30:23+00:00,5
