compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,1.15,6.19,7.34,2026-01-27T08:56:42+00:00,1
none,2,1.18,6.98,8.16,2026-01-27T08:57:03+00:00,1
none,4,1.04,10.66,11.70,2026-01-27T08:57:28+00:00,1
none,8,1.03,7.17,8.20,2026-01-27T08:57:46+00:00,1
tar,0,1.94,7.18,9.12,2026-01-27T08:58:04+00:00,1
tar,2,1.17,6.96,8.13,2026-01-27T08:58:22+00:00,1
tar,4,1.03,7.47,8.50,2026-01-27T08:58:40+00:00,1
tar,8,1.03,6.84,7.87,2026-01-27T08:58:57+00:00,1
gzip,0,8.90,6.93,15.83,2026-01-27T08:59:22+00:00,1
gzip,2,4.57,11.03,15.60,2026-01-27T08:59:47+00:00,1
gzip,4,3.04,10.32,13.36,2026-01-27T09:00:10+00:00,1
gzip,8,2.39,7.02,9.41,2026-01-27T09:00:30+00:00,1
lz4,0,1.90,8.51,10.41,2026-01-27T09:00:49+00:00,1
lz4,2,1.09,8.37,9.46,2026-01-27T09:01:08+00:00,1
lz4,4,1.05,7.67,8.72,2026-01-27T09:01:26+00:00,1
lz4,8,1.03,8.38,9.41,2026-01-27T09:01:45+00:00,1
zlib,0,8.90,11.38,20.28,2026-01-27T09:02:19+00:00,1
zlib,2,4.72,7.13,11.85,2026-01-27T09:02:41+00:00,1
zlib,4,2.99,6.98,9.97,2026-01-27T09:03:00+00:00,1
zlib,8,2.40,7.06,9.46,2026-01-27T09:03:18+00:00,1
none,0,1.16,6.05,7.21,2026-01-27T09:03:35+00:00,2
none,2,1.17,7.35,8.52,2026-01-27T09:03:53+00:00,2
none,4,1.03,7.25,8.28,2026-01-27T09:04:10+00:00,2
none,8,1.01,11.10,12.11,2026-01-27T09:04:32+00:00,2
tar,0,1.95,7.01,8.96,2026-01-27T09:04:51+00:00,2
tar,2,1.16,7.35,8.51,2026-01-27T09:05:09+00:00,2
tar,4,1.03,7.67,8.70,2026-01-27T09:05:27+00:00,2
tar,8,1.02,7.06,8.08,2026-01-27T09:05:44+00:00,2
gzip,0,8.82,7.69,16.51,2026-01-27T09:06:10+00:00,2
gzip,2,4.58,7.43,12.01,2026-01-27T09:06:32+00:00,2
gzip,4,2.97,7.81,10.78,2026-01-27T09:06:52+00:00,2
gzip,8,2.34,7.09,9.43,2026-01-27T09:07:11+00:00,2
lz4,0,1.91,8.96,10.87,2026-01-27T09:07:31+00:00,2
lz4,2,1.11,8.19,9.30,2026-01-27T09:07:50+00:00,2
lz4,4,1.04,7.72,8.76,2026-01-27T09:08:09+00:00,2
lz4,8,1.03,7.26,8.29,2026-01-27T09:08:26+00:00,2
zlib,0,9.14,7.82,16.96,2026-01-27T09:08:53+00:00,2
zlib,2,4.72,7.20,11.92,2026-01-27T09:09:14+00:00,2
