compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,4.09,10.16,14.25,2026-01-27T14:47:27+00:00,1
none,2,2.38,3.65,6.03,2026-01-27T14:47:37+00:00,1
none,4,1.62,2.17,3.79,2026-01-27T14:47:45+00:00,1
none,8,1.29,1.44,2.73,2026-01-27T14:47:51+00:00,1
tar,0,4.43,8.41,12.84,2026-01-27T14:48:08+00:00,1
tar,2,2.25,5.62,7.87,2026-01-27T14:48:20+00:00,1
tar,4,1.86,2.22,4.08,2026-01-27T14:48:28+00:00,1
tar,8,4.53,1.88,6.41,2026-01-27T14:48:39+00:00,1
gzip,0,2.52,1.23,3.75,2026-01-27T14:48:46+00:00,1
gzip,2,1.59,1.09,2.68,2026-01-27T14:48:53+00:00,1
gzip,4,1.03,1.08,2.11,2026-01-27T14:48:59+00:00,1
gzip,8,1.01,1.11,2.12,2026-01-27T14:49:05+00:00,1
lz4,0,1.29,2.38,3.67,2026-01-27T14:49:13+00:00,1
lz4,2,0.86,1.72,2.58,2026-01-27T14:49:20+00:00,1
lz4,4,0.81,1.55,2.36,2026-01-27T14:49:26+00:00,1
lz4,8,0.77,1.42,2.19,2026-01-27T14:49:32+00:00,1
zlib,0,2.98,1.38,4.36,2026-01-27T14:49:40+00:00,1
zlib,2,1.49,1.09,2.58,2026-01-27T14:49:47+00:00,1
zlib,4,1.09,1.06,2.15,2026-01-27T14:49:53+00:00,1
zlib,8,0.97,1.12,2.09,2026-01-27T14:49:59+00:00,1
none,0,3.88,7.65,11.53,2026-01-27T14:50:15+00:00,2
none,2,7.14,5.21,12.35,2026-01-27T14:50:31+00:00,2
none,4,1.70,2.13,3.83,2026-01-27T14:50:39+00:00,2
none,8,1.37,1.47,2.84,2026-01-27T14:50:46+00:00,2
tar,0,4.04,7.81,11.85,2026-01-27T14:51:02+00:00,2
tar,2,2.41,3.72,6.13,2026-01-27T14:51:12+00:00,2
tar,4,1.56,2.18,3.74,2026-01-27T14:51:20+00:00,2
tar,8,1.39,1.59,2.98,2026-01-27T14:51:27+00:00,2
gzip,0,2.87,1.25,4.12,2026-01-27T14:51:35+00:00,2
gzip,2,1.61,1.07,2.68,2026-01-27T14:51:41+00:00,2
gzip,4,1.06,1.06,2.12,2026-01-27T14:51:47+00:00,2
gzip,8,0.97,1.12,2.09,2026-01-27T14:51:54+00:00,2
lz4,0,1.28,2.40,3.68,2026-01-27T14:52:01+00:00,2
lz4,2,0.81,1.74,2.55,2026-01-27T14:52:08+00:00,2
lz4,4,0.77,1.52,2.29,2026-01-27T14:52:14+00:00,2
