compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,7.03,28.52,35.55,2026-01-27T15:11:27+00:00,1
none,2,3.69,14.46,18.15,2026-01-27T15:11:55+00:00,1
none,4,2.53,9.83,12.36,2026-01-27T15:12:17+00:00,1
none,8,2.00,8.88,10.88,2026-01-27T15:12:38+00:00,1
tar,0,6.77,20.99,27.76,2026-01-27T15:13:15+00:00,1
tar,2,3.48,13.56,17.04,2026-01-27T15:13:41+00:00,1
tar,4,2.36,8.76,11.12,2026-01-27T15:14:01+00:00,1
tar,8,1.93,8.27,10.20,2026-01-27T15:14:21+00:00,1
gzip,0,9.47,14.02,23.49,2026-01-27T15:14:54+00:00,1
gzip,2,5.36,9.25,14.61,2026-01-27T15:15:18+00:00,1
gzip,4,3.77,8.09,11.86,2026-01-27T15:15:40+00:00,1
gzip,8,3.01,7.91,10.92,2026-01-27T15:16:00+00:00,1
lz4,0,3.79,12.43,16.22,2026-01-27T15:16:24+00:00,1
lz4,2,2.10,11.06,13.16,2026-01-27T15:16:47+00:00,1
lz4,4,1.66,8.30,9.96,2026-01-27T15:17:06+00:00,1
lz4,8,1.60,8.40,10.00,2026-01-27T15:17:25+00:00,1
zlib,0,9.66,13.09,22.75,2026-01-27T15:17:58+00:00,1
zlib,2,5.43,10.02,15.45,2026-01-27T15:18:23+00:00,1
zlib,4,3.84,8.08,11.92,2026-01-27T15:18:44+00:00,1
zlib,8,3.03,8.23,11.26,2026-01-27T15:19:04+00:00,1
none,0,6.42,21.57,27.99,2026-01-27T15:19:41+00:00,2
none,2,3.56,13.89,17.45,2026-01-27T15:20:08+00:00,2
none,4,2.35,8.77,11.12,2026-01-27T15:20:28+00:00,2
none,8,1.90,7.96,9.86,2026-01-27T15:20:47+00:00,2
tar,0,6.94,24.82,31.76,2026-01-27T15:21:28+00:00,2
tar,2,3.53,13.19,16.72,2026-01-27T15:21:54+00:00,2
tar,4,2.34,10.81,13.15,2026-01-27T15:22:17+00:00,2
tar,8,1.92,7.86,9.78,2026-01-27T15:22:36+00:00,2
gzip,0,9.48,11.75,21.23,2026-01-27T15:23:06+00:00,2
gzip,2,5.27,8.90,14.17,2026-01-27T15:23:30+00:00,2
gzip,4,3.76,8.02,11.78,2026-01-27T15:23:52+00:00,2
gzip,8,3.00,7.18,10.18,2026-01-27T15:24:11+00:00,2
lz4,0,3.81,13.83,17.64,2026-01-27T15:24:38+00:00,2
lz4,2,2.10,8.80,10.90,2026-01-27T15:24:59+00:00,2
lz4,4,1.57,8.78,10.35,2026-01-27T15:25:18+00:00,2
lz4,8,1.56,8.24,9.80,2026-01-27T15:25:38+00:00,2
zlib,0,9.43,12.31,21.74,2026-01-27T15:26:09+00:00,2
zlib,2,5.33,9.42,14.75,2026-01-27T15:26:33+00:00,2
zlib,4,3.72,7.80,11.52,2026-01-27T15:26:54+00:00,2
zlib,8,2.94,7.40,10.34,2026-01-27T15:27:13+00:00,2
none,0,6.32,20.22,26.54,2026-01-27T15:27:49+00:00,3
none,2,3.53,12.50,16.03,2026-01-27T15:28:15+00:00,3
none,4,2.21,10.62,12.83,2026-01-27T15:28:37+00:00,3
none,8,1.92,8.49,10.41,2026-01-27T15:28:57+00:00,3
tar,0,6.32,20.74,27.06,2026-01-27T15:29:34+00:00,3
tar,2,3.36,12.42,15.78,2026-01-27T15:29:59+00:00,3
tar,4,2.22,9.78,12.00,2026-01-27T15:30:20+00:00,3
tar,8,1.98,7.37,9.35,2026-01-27T15:30:39+00:00,3
gzip,0,9.45,12.02,21.47,2026-01-27T15:31:10+00:00,3
gzip,2,5.42,9.61,15.03,2026-01-27T15:31:34+00:00,3
gzip,4,3.69,8.54,12.23,2026-01-27T15:31:56+00:00,3
gzip,8,3.10,7.90,11.00,2026-01-27T15:32:16+00:00,3
lz4,0,3.90,13.63,17.53,2026-01-27T15:32:43+00:00,3
lz4,2,2.12,8.99,11.11,2026-01-27T15:33:04+00:00,3
lz4,4,1.59,8.28,9.87,2026-01-27T15:33:23+00:00,3
lz4,8,1.59,8.56,10.15,2026-01-27T15:33:43+00:00,3
zlib,0,9.47,13.09,22.56,2026-01-27T15:34:14+00:00,3
zlib,2,5.44,9.17,14.61,2026-01-27T15:34:38+00:00,3
zlib,4,3.81,8.76,12.57,2026-01-27T15:35:00+00:00,3
zlib,8,2.96,7.94,10.90,2026-01-27T15:35:20+00:00,3
none,0,6.64,20.01,26.65,2026-01-27T15:35:56+00:00,4
none,2,3.33,12.31,15.64,2026-01-27T15:36:21+00:00,4
none,4,2.19,9.73,11.92,2026-01-27T15:36:42+00:00,4
none,8,1.90,7.96,9.86,2026-01-27T15:37:02+00:00,4
tar,0,7.52,21.09,28.61,2026-01-27T15:37:40+00:00,4
tar,2,3.81,17.18,20.99,2026-01-27T15:38:11+00:00,4
tar,4,2.19,9.82,12.01,2026-01-27T15:38:32+00:00,4
tar,8,1.86,8.28,10.14,2026-01-27T15:38:52+00:00,4
gzip,0,9.11,11.16,20.27,2026-01-27T15:39:22+00:00,4
gzip,2,5.32,9.86,15.18,2026-01-27T15:39:46+00:00,4
